"2026-03-09 06:33:25","6","Spårvagn","2026-03-09T06:31:00.0000000+01:00","2026-03-09T06:33:00.0000000+01:00"
"2026-03-09 06:33:25","64","Spårvagn","2026-03-09T06:28:00.0000000+01:00","2026-03-09T06:35:00.0000000+01:00"
"2026-03-09 06:33:25","753","Spårvagn","2026-03-09T06:31:00.0000000+01:00","2026-03-09T06:35:00.0000000+01:00"
"2026-03-09 06:33:25","64","Spårvagn","2026-03-09T06:36:00.0000000+01:00","2026-03-09T06:35:00.0000000+01:00"
"2026-03-09 06:33:25","6","Spårvagn","2026-03-09T06:19:00.0000000+01:00","2026-03-09T06:36:00.0000000+01:00"
"2026-03-09 06:33:25","8","Spårvagn","2026-03-09T06:35:00.0000000+01:00","2026-03-09T06:36:00.0000000+01:00"
"2026-03-09 06:33:25","10","Spårvagn","2026-03-09T06:35:00.0000000+01:00","2026-03-09T06:36:00.0000000+01:00"
"2026-03-09 06:33:25","7","Spårvagn","2026-03-09T06:34:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:33:25","13","Spårvagn","2026-03-09T06:35:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:33:25","7","Spårvagn","2026-03-09T06:37:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:38:26","6","Spårvagn","2026-03-09T06:19:00.0000000+01:00","2026-03-09T06:38:00.0000000+01:00"
"2026-03-09 06:38:26","6","Spårvagn","2026-03-09T06:35:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:38:26","8","Spårvagn","2026-03-09T06:35:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:38:26","13","Spårvagn","2026-03-09T06:35:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:38:26","64","Spårvagn","2026-03-09T06:38:00.0000000+01:00","2026-03-09T06:39:00.0000000+01:00"
"2026-03-09 06:38:26","7","Spårvagn","2026-03-09T06:34:00.0000000+01:00","2026-03-09T06:40:00.0000000+01:00"
"2026-03-09 06:38:26","7","Spårvagn","2026-03-09T06:37:00.0000000+01:00","2026-03-09T06:40:00.0000000+01:00"
"2026-03-09 06:38:26","10","Spårvagn","2026-03-09T06:38:00.0000000+01:00","2026-03-09T06:41:00.0000000+01:00"
"2026-03-09 06:38:26","8","Spårvagn","2026-03-09T06:39:00.0000000+01:00","2026-03-09T06:41:00.0000000+01:00"
"2026-03-09 06:38:26","258","Spårvagn","2026-03-09T06:39:00.0000000+01:00","2026-03-09T06:42:00.0000000+01:00"
"2026-03-09 06:43:26","258","Spårvagn","2026-03-09T06:39:00.0000000+01:00","2026-03-09T06:44:00.0000000+01:00"
"2026-03-09 06:43:26","7","Spårvagn","2026-03-09T06:41:00.0000000+01:00","2026-03-09T06:44:00.0000000+01:00"
"2026-03-09 06:43:26","753","Spårvagn","2026-03-09T06:44:00.0000000+01:00","2026-03-09T06:44:00.0000000+01:00"
"2026-03-09 06:43:26","64","Spårvagn","2026-03-09T06:46:00.0000000+01:00","2026-03-09T06:47:00.0000000+01:00"
"2026-03-09 06:43:26","7","Spårvagn","2026-03-09T06:47:00.0000000+01:00","2026-03-09T06:47:00.0000000+01:00"
"2026-03-09 06:43:26","6","Spårvagn","2026-03-09T06:43:00.0000000+01:00","2026-03-09T06:48:00.0000000+01:00"
"2026-03-09 06:43:26","7","Spårvagn","2026-03-09T06:45:00.0000000+01:00","2026-03-09T06:48:00.0000000+01:00"
"2026-03-09 06:43:26","64","Spårvagn","2026-03-09T06:48:00.0000000+01:00","2026-03-09T06:49:00.0000000+01:00"
"2026-03-09 06:43:26","10","Spårvagn","2026-03-09T06:48:00.0000000+01:00","2026-03-09T06:50:00.0000000+01:00"
"2026-03-09 06:43:26","6","Spårvagn","2026-03-09T06:48:00.0000000+01:00","2026-03-09T06:51:00.0000000+01:00"
"2026-03-09 06:48:27","6","Spårvagn","2026-03-09T06:43:00.0000000+01:00","2026-03-09T06:48:00.0000000+01:00"
"2026-03-09 06:48:27","64","Spårvagn","2026-03-09T06:46:00.0000000+01:00","2026-03-09T06:48:00.0000000+01:00"
"2026-03-09 06:48:27","64","Spårvagn","2026-03-09T06:48:00.0000000+01:00","2026-03-09T06:49:00.0000000+01:00"
"2026-03-09 06:48:27","6","Spårvagn","2026-03-09T06:48:00.0000000+01:00","2026-03-09T06:50:00.0000000+01:00"
"2026-03-09 06:48:27","10","Spårvagn","2026-03-09T06:48:00.0000000+01:00","2026-03-09T06:51:00.0000000+01:00"
"2026-03-09 06:48:27","10","Spårvagn","2026-03-09T06:52:00.0000000+01:00","2026-03-09T06:53:00.0000000+01:00"
"2026-03-09 06:48:27","753","Spårvagn","2026-03-09T06:46:00.0000000+01:00","2026-03-09T06:54:00.0000000+01:00"
"2026-03-09 06:48:27","8","Spårvagn","2026-03-09T06:52:00.0000000+01:00","2026-03-09T06:54:00.0000000+01:00"
"2026-03-09 06:48:27","8","Spårvagn","2026-03-09T06:52:00.0000000+01:00","2026-03-09T06:54:00.0000000+01:00"
"2026-03-09 06:48:27","64","Spårvagn","2026-03-09T06:56:00.0000000+01:00","2026-03-09T06:56:00.0000000+01:00"
"2026-03-09 06:53:27","753","Spårvagn","2026-03-09T06:46:00.0000000+01:00","2026-03-09T06:54:00.0000000+01:00"
"2026-03-09 06:53:27","8","Spårvagn","2026-03-09T06:52:00.0000000+01:00","2026-03-09T06:54:00.0000000+01:00"
"2026-03-09 06:53:27","8","Spårvagn","2026-03-09T06:52:00.0000000+01:00","2026-03-09T06:55:00.0000000+01:00"
"2026-03-09 06:53:27","258","Spårvagn","2026-03-09T06:54:00.0000000+01:00","2026-03-09T06:56:00.0000000+01:00"
"2026-03-09 06:53:27","64","Spårvagn","2026-03-09T06:56:00.0000000+01:00","2026-03-09T06:56:00.0000000+01:00"
"2026-03-09 06:53:27","7","Spårvagn","2026-03-09T06:57:00.0000000+01:00","2026-03-09T06:58:00.0000000+01:00"
"2026-03-09 06:53:27","64","Spårvagn","2026-03-09T06:58:00.0000000+01:00","2026-03-09T06:59:00.0000000+01:00"
"2026-03-09 06:53:27","753","Spårvagn","2026-03-09T06:59:00.0000000+01:00","2026-03-09T06:59:00.0000000+01:00"
